,CO(GT),PT08.S1(CO),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,RH,AH,Year,Month,Day,Hour,IsWeekend,Day_Monday,Day_Tuesday,Day_Wednesday,Day_Thursday,Day_Friday,Day_Saturday,Day_Sunday
47,2.4,1274,11.7,1041,150,1006,119.0,1610,994,16.9,34.3,0.6549,2004,3,12,17,0,0,0,0,0,1,0,0
48,3.9,1510,19.3,1277,206,812,149.0,1910,1410,15.1,39.6,0.6766,2004,3,12,18,0,0,0,0,0,1,0,0
49,3.7,1525,18.2,1246,202,821,145.0,1847,1448,14.4,43.4,0.7084,2004,3,12,19,0,0,0,0,0,1,0,0
51,4.4,1598,20.1,1299,274,752,149.0,1941,1627,12.1,53.3,0.7536,2004,3,12,21,0,0,0,0,0,1,0,0
52,3.5,1484,14.3,1127,253,839,139.0,1723,1491,11.0,59.1,0.774,2004,3,12,22,0,0,0,0,0,1,0,0
53,5.4,1677,21.8,1346,300,741,134.0,2062,1657,9.7,64.6,0.7771,2004,3,12,23,0,0,0,0,0,1,0,0
54,2.7,1280,9.6,964,193,963,113.0,1544,1285,9.5,64.1,0.7597,2004,3,13,0,1,0,0,0,0,0,1,0
55,1.9,1196,7.4,873,139,1071,97.0,1463,1144,9.1,63.9,0.7423,2004,3,13,1,1,0,0,0,0,0,1,0
56,1.6,1184,5.4,782,83,1176,82.0,1365,1043,8.8,63.9,0.7256,2004,3,13,2,1,0,0,0,0,0,1,0
57,1.7,1172,5.4,783,96,1179,82.5,1380,996,7.8,67.5,0.7173,2004,3,13,3,1,0,0,0,0,0,1,0
58,1.35,1147,6.2,821,109,1132,83.0,1412,992,7.0,71.1,0.7158,2004,3,13,4,1,0,0,0,0,0,1,0
59,1.0,978,2.6,625,62,1420,65.0,1274,819,8.3,63.6,0.6982,2004,3,13,5,1,0,0,0,0,0,1,0
60,1.2,1100,2.9,646,53,1406,60.0,1268,835,7.2,67.5,0.6887,2004,3,13,6,1,0,0,0,0,0,1,0
61,1.5,1112,5.1,770,139,1228,77.0,1409,940,6.3,71.9,0.6932,2004,3,13,7,1,0,0,0,0,0,1,0
62,2.7,1336,11.8,1043,256,935,96.0,1678,1192,6.5,71.6,0.6945,2004,3,13,8,1,0,0,0,0,0,1,0
63,3.7,1408,15.1,1153,295,830,119.0,1777,1411,9.6,59.7,0.7124,2004,3,13,9,1,0,0,0,0,0,1,0
64,3.2,1447,12.9,1081,250,869,126.0,1667,1465,12.4,51.2,0.7335,2004,3,13,10,1,0,0,0,0,0,1,0
65,4.1,1542,16.1,1184,296,808,158.0,1780,1583,15.6,42.2,0.7451,2004,3,13,11,1,0,0,0,0,0,1,0
66,3.6,1451,14.0,1117,239,875,161.0,1679,1387,18.4,33.8,0.709,2004,3,13,12,1,0,0,0,0,0,1,0
67,2.8,1328,12.3,1059,153,987,124.0,1600,1101,19.4,31.3,0.695,2004,3,13,13,1,0,0,0,0,0,1,0
68,2.0,1207,8.6,924,118,1088,102.0,1488,850,18.0,34.8,0.7127,2004,3,13,14,1,0,0,0,0,0,1,0
69,2.0,1240,9.2,947,119,1049,116.0,1532,947,18.4,33.6,0.7042,2004,3,13,15,1,0,0,0,0,0,1,0
70,2.5,1306,10.2,987,138,1004,124.0,1554,1078,17.6,35.1,0.7012,2004,3,13,16,1,0,0,0,0,0,1,0
71,2.3,1326,10.6,1000,148,976,125.0,1602,1084,16.7,37.8,0.7117,2004,3,13,17,1,0,0,0,0,0,1,0
72,3.2,1473,15.5,1163,227,831,148.0,1779,1395,16.1,41.0,0.7451,2004,3,13,18,1,0,0,0,0,0,1,0
73,4.2,1609,19.6,1286,277,758,165.0,1922,1612,15.8,42.4,0.7569,2004,3,13,19,1,0,0,0,0,0,1,0
74,4.2,1611,19.2,1274,279,754,161.0,1915,1697,15.7,44.1,0.7786,2004,3,13,20,1,0,0,0,0,0,1,0
75,4.2,1621,18.3,1247,283,762,159.0,1860,1886,15.3,46.8,0.8091,2004,3,13,21,1,0,0,0,0,0,1,0
76,3.1,1444,13.1,1089,214,844,143.0,1748,1624,14.6,48.6,0.806,2004,3,13,22,1,0,0,0,0,0,1,0
77,2.6,1418,10.9,1010,172,892,130.0,1603,1536,14.7,49.3,0.8193,2004,3,13,23,1,0,0,0,0,0,1,0
78,2.9,1534,11.0,1013,190,889,129.0,1611,1535,13.9,53.6,0.8498,2004,3,14,0,1,0,0,0,0,0,0,1
79,2.8,1484,11.9,1045,174,880,119.0,1624,1530,14.6,51.5,0.8536,2004,3,14,1,1,0,0,0,0,0,0,1
80,2.5,1367,8.6,925,128,953,104.0,1543,1337,12.5,58.9,0.8537,2004,3,14,2,1,0,0,0,0,0,0,1
81,2.4,1344,9.7,968,99,921,93.0,1620,1278,11.6,63.4,0.8674,2004,3,14,3,1,0,0,0,0,0,0,1
82,1.7999999999999998,1130,5.2,773,70,1130,82.0,1452,1051,12.1,61.1,0.8603,2004,3,14,4,1,0,0,0,0,0,0,1
83,1.2,1062,3.7,691,53,1272,70.0,1377,929,11.5,63.1,0.8533,2004,3,14,5,1,0,0,0,0,0,0,1
84,1.0,1076,2.5,618,44,1395,63.0,1333,872,11.6,62.2,0.8473,2004,3,14,6,1,0,0,0,0,0,0,1
85,0.9,1028,2.4,615,74,1384,67.0,1340,853,10.4,67.6,0.853,2004,3,14,7,1,0,0,0,0,0,0,1
86,1.4,1155,4.2,722,101,1225,84.0,1414,959,11.6,62.7,0.853,2004,3,14,8,1,0,0,0,0,0,0,1
87,1.6,1235,6.4,828,118,1055,83.0,1527,1093,12.4,60.0,0.8627,2004,3,14,9,1,0,0,0,0,0,0,1
88,2.2,1332,8.6,923,144,952,98.0,1614,1225,14.5,53.1,0.8728,2004,3,14,10,1,0,0,0,0,0,0,1
89,2.8,1445,10.9,1009,176,878,114.0,1696,1355,16.9,46.1,0.8789,2004,3,14,11,1,0,0,0,0,0,0,1
90,2.8,1416,10.7,1002,161,907,119.0,1677,1262,19.3,38.3,0.8474,2004,3,14,12,1,0,0,0,0,0,0,1
91,2.0,1281,7.5,880,113,1084,104.0,1525,980,21.2,31.4,0.7812,2004,3,14,13,1,0,0,0,0,0,0,1
92,1.8,1207,7.5,879,103,1104,102.0,1490,872,21.4,30.2,0.7616,2004,3,14,14,1,0,0,0,0,0,0,1
93,1.9,1258,8.2,906,112,1081,107.0,1511,900,21.9,29.0,0.7525,2004,3,14,15,1,0,0,0,0,0,0,1
94,3.0,1458,11.9,1045,170,974,129.0,1646,1099,22.2,28.4,0.7516,2004,3,14,16,1,0,0,0,0,0,0,1
95,2.9,1438,12.0,1051,180,943,128.0,1668,1206,21.3,30.8,0.7696,2004,3,14,17,1,0,0,0,0,0,0,1
96,2.5,1478,12.2,1055,160,929,121.0,1671,1262,19.7,36.7,0.8307,2004,3,14,18,1,0,0,0,0,0,0,1
97,4.6,1808,20.6,1312,261,753,157.0,1993,1698,18.4,41.7,0.8732,2004,3,14,19,1,0,0,0,0,0,0,1
99,3.4,1560,14.7,1140,217,784,146.0,1818,1648,16.7,49.6,0.932,2004,3,14,21,1,0,0,0,0,0,0,1
100,2.1,1324,9.0,940,146,924,121.0,1587,1423,16.3,51.0,0.9341,2004,3,14,22,1,0,0,0,0,0,0,1
101,2.2,1349,8.8,933,152,933,119.0,1617,1349,14.7,55.9,0.9314,2004,3,14,23,1,0,0,0,0,0,0,1
102,1.8,1239,7.4,872,104,985,99.0,1547,1250,14.8,54.7,0.9164,2004,3,15,0,0,1,0,0,0,0,0,0
103,1.8,1239,6.9,853,106,1010,93.0,1543,1174,14.0,57.0,0.9094,2004,3,15,1,0,1,0,0,0,0,0,0
104,1.8,1224,7.0,855,108,998,88.0,1566,1149,13.4,61.3,0.9361,2004,3,15,2,0,1,0,0,0,0,0,0
105,1.1,1078,4.4,734,87,1128,79.5,1487,1021,12.6,63.5,0.923,2004,3,15,3,0,1,0,0,0,0,0,0
106,1.05,1078,4.0,711,66,1150,71.0,1468,1013,12.3,65.4,0.9351,2004,3,15,4,0,1,0,0,0,0,0,0
107,1.0,1075,3.9,703,88,1156,74.0,1464,1010,11.9,67.4,0.9375,2004,3,15,5,0,1,0,0,0,0,0,0
108,1.4,1157,6.4,830,138,1030,80.0,1584,1083,11.4,70.5,0.9475,2004,3,15,6,0,1,0,0,0,0,0,0
109,2.2,1314,9.7,966,228,897,89.0,1710,1235,11.3,70.2,0.9401,2004,3,15,7,0,1,0,0,0,0,0,0
110,5.5,1797,25.9,1451,360,652,114.0,2323,1680,12.4,63.9,0.917,2004,3,15,8,0,1,0,0,0,0,0,0
113,4.2,1564,20.1,1300,319,710,155.0,2029,1798,19.8,38.5,0.8801,2004,3,15,11,0,1,0,0,0,0,0,0
114,3.1,1430,14.1,1120,201,831,134.0,1783,1522,22.0,34.1,0.8904,2004,3,15,12,0,1,0,0,0,0,0,0
115,2.9,1417,14.9,1146,171,830,119.0,1831,1404,23.3,32.2,0.9096,2004,3,15,13,0,1,0,0,0,0,0,0
116,2.9,1400,15.4,1162,159,838,111.0,1829,1263,23.9,30.0,0.8757,2004,3,15,14,0,1,0,0,0,0,0,0
117,2.5,1317,12.1,1053,153,926,104.0,1707,1137,24.4,28.9,0.8736,2004,3,15,15,0,1,0,0,0,0,0,0
118,2.3,1318,11.5,1033,143,950,99.0,1675,1068,24.4,29.4,0.8848,2004,3,15,16,0,1,0,0,0,0,0,0
119,2.8,1445,14.8,1141,156,857,110.0,1824,1252,23.8,31.3,0.9137,2004,3,15,17,0,1,0,0,0,0,0,0
123,4.2,1595,19.9,1294,256,678,145.0,2058,1707,16.7,57.4,1.0786,2004,3,15,21,0,1,0,0,0,0,0,0
124,3.2,1439,15.3,1159,193,764,125.0,1856,1494,15.7,60.2,1.0654,2004,3,15,22,0,1,0,0,0,0,0,0
125,1.4,1142,6.9,852,89,1008,101.0,1547,1164,15.3,61.4,1.058,2004,3,15,23,0,1,0,0,0,0,0,0
126,2.1,1304,11.1,1019,127,852,103.0,1731,1272,14.1,65.7,1.0494,2004,3,16,0,0,0,1,0,0,0,0,0
127,1.2,1074,5.4,784,79,1098,88.0,1483,1040,14.8,60.6,1.0148,2004,3,16,1,0,0,1,0,0,0,0,0
128,0.8,968,2.8,640,43,1320,61.0,1386,867,14.8,59.2,0.9879,2004,3,16,2,0,0,1,0,0,0,0,0
129,0.7,929,2.3,608,51,1376,60.0,1364,826,13.6,62.1,0.9636,2004,3,16,3,0,0,1,0,0,0,0,0
130,0.6499999999999999,941,2.6,626,59,1316,59.0,1373,840,12.3,66.2,0.945,2004,3,16,4,0,0,1,0,0,0,0,0
131,0.6,937,2.0,585,38,1412,52.0,1348,793,12.8,63.2,0.9283,2004,3,16,5,0,0,1,0,0,0,0,0
132,0.9,1017,3.5,681,82,1246,64.0,1418,870,11.2,68.5,0.9081,2004,3,16,6,0,0,1,0,0,0,0,0
133,1.3,1171,5.1,770,99,1162,70.0,1467,930,11.0,66.5,0.8705,2004,3,16,7,0,0,1,0,0,0,0,0
134,3.4,1541,16.2,1185,263,770,97.0,1889,1407,11.7,63.7,0.8719,2004,3,16,8,0,0,1,0,0,0,0,0
135,3.7,1539,19.7,1287,229,698,95.0,2055,1507,13.6,56.3,0.8743,2004,3,16,9,0,0,1,0,0,0,0,0
136,5.3,1735,25.1,1431,396,628,150.0,2211,1843,17.8,42.9,0.8672,2004,3,16,10,0,0,1,0,0,0,0,0
137,4.1,1571,20.0,1297,314,730,162.0,1973,1729,21.4,33.3,0.8417,2004,3,16,11,0,0,1,0,0,0,0,0
138,3.3,1452,18.3,1250,217,776,154.0,1868,1583,24.4,27.4,0.8231,2004,3,16,12,0,0,1,0,0,0,0,0
139,4.0,1579,22.3,1359,252,724,161.0,1998,1671,25.3,26.1,0.8264,2004,3,16,13,0,0,1,0,0,0,0,0
140,3.8,1466,20.4,1309,263,773,161.0,1897,1491,25.8,23.2,0.7589,2004,3,16,14,0,0,1,0,0,0,0,0
141,2.8,1280,14.6,1136,180,893,128.0,1675,1240,27.0,20.2,0.7094,2004,3,16,15,0,0,1,0,0,0,0,0
142,2.9,1407,16.6,1197,184,905,129.0,1759,1313,28.2,18.6,0.7014,2004,3,16,16,0,0,1,0,0,0,0,0
143,2.9,1389,15.8,1173,190,898,133.0,1739,1363,28.0,19.1,0.7098,2004,3,16,17,0,0,1,0,0,0,0,0
144,3.4,1447,17.8,1235,184,859,139.0,1778,1296,23.9,25.7,0.7519,2004,3,16,18,0,0,1,0,0,0,0,0
145,3.9,1551,19.1,1271,181,800,137.0,1875,1432,21.3,34.8,0.873,2004,3,16,19,0,0,1,0,0,0,0,0
146,3.2,1474,15.8,1173,166,854,143.0,1776,1432,20.4,36.7,0.8704,2004,3,16,20,0,0,1,0,0,0,0,0
147,5.1,1800,24.9,1426,317,700,177.0,2106,2034,19.0,41.3,0.9007,2004,3,16,21,0,0,1,0,0,0,0,0
148,2.6,1379,13.5,1101,184,818,138.0,1710,1602,17.9,45.9,0.9342,2004,3,16,22,0,0,1,0,0,0,0,0
149,1.7,1201,9.1,943,130,935,117.0,1560,1362,16.7,48.9,0.9226,2004,3,16,23,0,0,1,0,0,0,0,0
150,1.7,1205,8.6,925,132,922,107.0,1547,1314,15.5,52.9,0.9271,2004,3,17,0,0,0,0,1,0,0,0,0
151,1.2,1072,5.4,784,95,1066,90.0,1442,1114,15.5,51.9,0.9059,2004,3,17,1,0,0,0,1,0,0,0,0
152,0.9,998,4.1,714,70,1169,79.0,1383,992,14.1,55.6,0.891,2004,3,17,2,0,0,0,1,0,0,0,0
153,0.7,933,2.6,625,62,1292,69.5,1332,884,13.1,57.9,0.8666,2004,3,17,3,0,0,0,1,0,0,0,0
154,0.6,883,1.9,577,54,1396,60.0,1303,808,12.7,57.9,0.8447,2004,3,17,4,0,0,0,1,0,0,0,0
156,0.5,891,1.9,576,46,1417,53.0,1289,733,11.9,57.4,0.7978,2004,3,17,6,0,0,0,1,0,0,0,0
157,1.6,1173,7.5,878,160,1038,84.0,1556,1052,9.9,65.2,0.7956,2004,3,17,7,0,0,0,1,0,0,0,0
158,4.1,1587,21.4,1334,320,702,108.0,1999,1534,11.1,60.2,0.7958,2004,3,17,8,0,0,0,1,0,0,0,0
160,4.3,1522,21.3,1331,280,703,134.0,2026,1734,17.7,40.1,0.8048,2004,3,17,10,0,0,0,1,0,0,0,0
161,2.9,1438,15.4,1161,221,819,135.0,1782,1595,21.1,33.4,0.8265,2004,3,17,11,0,0,0,1,0,0,0,0
162,2.5,1393,12.5,1067,210,905,142.0,1654,1490,24.3,28.3,0.8471,2004,3,17,12,0,0,0,1,0,0,0,0
163,2.8,1452,15.1,1152,204,861,153.0,1747,1508,25.6,25.6,0.8254,2004,3,17,13,0,0,0,1,0,0,0,0
164,2.6,1389,13.7,1108,161,887,123.0,1712,1334,25.9,25.9,0.8503,2004,3,17,14,0,0,0,1,0,0,0,0
165,2.0,1207,10.4,994,135,1013,104.0,1520,1045,26.8,18.7,0.65,2004,3,17,15,0,0,0,1,0,0,0,0
166,2.9,1365,15.2,1154,186,940,129.0,1679,1221,29.3,15.8,0.6309,2004,3,17,16,0,0,0,1,0,0,0,0
167,2.5,1247,12.3,1060,147,1032,114.0,1525,1069,28.5,14.9,0.5708,2004,3,17,17,0,0,0,1,0,0,0,0
168,5.0,1557,27.0,1478,299,793,158.0,1981,1569,25.9,16.0,0.5237,2004,3,17,18,0,0,0,1,0,0,0,0
172,2.8,1444,15.0,1150,202,770,136.0,1727,1727,17.2,44.1,0.8558,2004,3,17,22,0,0,0,1,0,0,0,0
173,2.6,1488,15.7,1171,178,731,127.0,1778,1705,16.0,50.9,0.9206,2004,3,17,23,0,0,0,1,0,0,0,0
174,2.3,1371,13.0,1083,154,796,116.0,1669,1551,14.8,53.9,0.9024,2004,3,18,0,0,0,0,0,1,0,0,0
175,1.4,1161,8.1,904,92,947,107.0,1502,1240,14.3,55.4,0.8975,2004,3,18,1,0,0,0,0,1,0,0,0
176,1.0,1064,5.5,787,61,1057,88.0,1407,1115,14.8,52.1,0.8686,2004,3,18,2,0,0,0,0,1,0,0,0
177,0.7,970,3.6,687,60,1196,83.0,1351,969,13.9,53.9,0.8501,2004,3,18,3,0,0,0,0,1,0,0,0
178,0.6499999999999999,954,2.9,645,60,1260,78.0,1334,925,11.6,61.9,0.8442,2004,3,18,4,0,0,0,0,1,0,0,0
179,0.6,931,2.5,623,37,1293,57.0,1307,828,12.0,58.9,0.8233,2004,3,18,5,0,0,0,0,1,0,0,0
180,0.7,938,3.0,650,68,1251,71.0,1333,893,10.9,62.1,0.8113,2004,3,18,6,0,0,0,0,1,0,0,0
181,1.5,1166,7.7,885,139,1005,85.0,1551,1075,10.6,63.3,0.8067,2004,3,18,7,0,0,0,0,1,0,0,0
182,4.7,1643,23.3,1384,339,667,124.0,2094,1610,11.5,60.0,0.8117,2004,3,18,8,0,0,0,0,1,0,0,0
184,4.5,1617,21.3,1333,349,686,150.0,2010,1819,17.8,40.5,0.821,2004,3,18,10,0,0,0,0,1,0,0,0
185,2.8,1473,14.3,1127,224,831,152.0,1752,1568,20.8,34.4,0.8365,2004,3,18,11,0,0,0,0,1,0,0,0
186,2.2,1379,12.5,1068,171,899,139.0,1663,1374,23.8,28.2,0.8219,2004,3,18,12,0,0,0,0,1,0,0,0
187,2.2,1385,12.2,1056,149,891,133.0,1648,1268,24.2,28.7,0.8515,2004,3,18,13,0,0,0,0,1,0,0,0
188,2.3,1379,13.1,1087,137,901,126.0,1660,1144,25.2,24.9,0.7829,2004,3,18,14,0,0,0,0,1,0,0,0
189,2.2,1322,14.4,1129,149,934,128.0,1639,1109,27.0,17.8,0.6275,2004,3,18,15,0,0,0,0,1,0,0,0
190,2.8,1496,16.8,1205,172,822,169.0,1767,1347,27.1,23.1,0.818,2004,3,18,16,0,0,0,0,1,0,0,0
191,2.7,1409,14.5,1131,166,873,149.0,1689,1206,25.8,23.9,0.7832,2004,3,18,17,0,0,0,0,1,0,0,0
192,3.7,1513,21.5,1338,214,764,156.0,1957,1397,23.0,26.8,0.7446,2004,3,18,18,0,0,0,0,1,0,0,0
193,5.1,1667,26.4,1464,280,683,168.0,2118,1588,20.7,31.1,0.7523,2004,3,18,19,0,0,0,0,1,0,0,0
194,5.1,1667,26.0,1453,276,684,176.0,2051,1569,18.6,36.2,0.7676,2004,3,18,20,0,0,0,0,1,0,0,0
195,3.2,1430,14.1,1121,178,814,135.0,1732,1322,16.0,48.4,0.8768,2004,3,18,21,0,0,0,0,1,0,0,0
196,2.1,1333,10.3,989,129,885,121.0,1621,1194,14.5,57.8,0.9456,2004,3,18,22,0,0,0,0,1,0,0,0
197,1.7,1262,8.3,911,95,948,99.0,1545,1062,13.1,64.2,0.9606,2004,3,18,23,0,0,0,0,1,0,0,0
198,2.0,1287,8.9,936,126,918,106.0,1606,1040,12.0,69.7,0.9735,2004,3,19,0,0,0,0,0,0,1,0,0
199,1.6,1134,6.6,840,103,1021,96.0,1501,917,11.9,71.1,0.9915,2004,3,19,1,0,0,0,0,0,1,0,0
200,0.9,999,3.6,688,48,1229,63.0,1380,594,12.5,69.3,1.0029,2004,3,19,2,0,0,0,0,0,1,0,0
201,0.7,961,2.5,622,34,1382,47.5,1301,430,12.5,67.5,0.9768,2004,3,19,3,0,0,0,0,0,1,0,0
204,0.7,969,2.3,607,56,1373,61.0,1324,438,12.3,66.3,0.9487,2004,3,19,6,0,0,0,0,0,1,0,0
205,1.5,1182,6.7,845,115,1054,99.0,1539,704,12.4,64.9,0.9332,2004,3,19,7,0,0,0,0,0,1,0,0
206,4.8,1740,22.8,1372,320,671,157.0,2144,1476,13.0,61.6,0.9209,2004,3,19,8,0,0,0,0,0,1,0,0
208,4.0,1427,19.2,1275,253,701,149.0,1980,1398,13.9,57.1,0.9032,2004,3,19,10,0,0,0,0,0,1,0,0
209,3.3,1390,16.4,1191,218,759,135.0,1879,1268,14.5,54.4,0.8917,2004,3,19,11,0,0,0,0,0,1,0,0
210,2.8,1283,14.0,1117,192,813,127.0,1751,1188,15.5,50.1,0.8744,2004,3,19,12,0,0,0,0,0,1,0,0
211,3.0,1304,15.3,1157,176,793,122.0,1801,1171,16.1,47.6,0.8655,2004,3,19,13,0,0,0,0,0,1,0,0
212,3.3,1364,16.7,1202,198,771,135.0,1875,1250,16.3,47.1,0.864,2004,3,19,14,0,0,0,0,0,1,0,0
213,3.5,1410,19.0,1268,212,724,139.0,1957,1344,16.4,47.5,0.8791,2004,3,19,15,0,0,0,0,0,1,0,0
214,4.0,1476,19.4,1280,249,708,147.0,1955,1378,16.1,50.2,0.9094,2004,3,19,16,0,0,0,0,0,1,0,0
215,4.6,1522,20.9,1320,270,690,158.0,2005,1435,16.0,50.7,0.9142,2004,3,19,17,0,0,0,0,0,1,0,0
216,4.1,1442,20.2,1301,231,704,146.0,1952,1372,15.8,50.3,0.8989,2004,3,19,18,0,0,0,0,0,1,0,0
217,4.5,1469,21.7,1344,251,677,144.0,1997,1471,15.5,50.6,0.884,2004,3,19,19,0,0,0,0,0,1,0,0
218,3.9,1467,19.8,1292,210,698,138.0,1942,1439,15.4,51.4,0.8956,2004,3,19,20,0,0,0,0,0,1,0,0
219,4.0,1421,16.7,1202,249,748,143.0,1854,1429,15.2,53.1,0.9117,2004,3,19,21,0,0,0,0,0,1,0,0
220,2.2,1175,9.1,945,143,904,116.0,1604,1081,14.7,57.6,0.9573,2004,3,19,22,0,0,0,0,0,1,0,0
221,2.1,1215,8.3,912,127,948,109.0,1547,993,14.2,58.3,0.938,2004,3,19,23,0,0,0,0,0,1,0,0
222,1.7,1127,5.8,802,104,1064,92.0,1447,837,13.8,57.9,0.9085,2004,3,20,0,1,0,0,0,0,0,1,0
223,1.6,1090,5.2,773,86,1105,83.0,1429,761,13.9,55.9,0.8842,2004,3,20,1,1,0,0,0,0,0,1,0
224,1.3,1017,4.1,718,74,1182,81.0,1382,650,13.9,55.6,0.8765,2004,3,20,2,1,0,0,0,0,0,1,0
225,1.3,997,3.4,677,59,1252,68.0,1359,591,13.8,55.1,0.8666,2004,3,20,3,1,0,0,0,0,0,1,0
226,1.05,945,2.9,646,44,1308,55.0,1332,505,13.8,54.6,0.8574,2004,3,20,4,1,0,0,0,0,0,1,0
227,0.8,956,3.1,661,42,1260,53.0,1351,518,13.6,55.1,0.856,2004,3,20,5,1,0,0,0,0,0,1,0
228,0.8,966,2.5,622,63,1317,67.0,1342,571,13.6,59.0,0.9129,2004,3,20,6,1,0,0,0,0,0,1,0
229,1.1,1064,4.3,728,115,1161,91.0,1461,842,13.5,58.4,0.896,2004,3,20,7,1,0,0,0,0,0,1,0
230,2.1,1300,8.9,935,170,902,113.0,1623,1145,13.8,58.0,0.9083,2004,3,20,8,1,0,0,0,0,0,1,0
231,2.4,1348,10.5,998,147,834,102.0,1689,1218,14.6,53.1,0.8765,2004,3,20,9,1,0,0,0,0,0,1,0
232,2.6,1425,12.5,1068,166,776,107.0,1764,1341,15.0,52.3,0.8881,2004,3,20,10,1,0,0,0,0,0,1,0
